Address,Time,Temp (C),Humidity (%),Pressure (hPa),Soil (su),#TX
1,"04/16/2021, 09:19:13",22.15,34.08,992.56,511.0,1
1,"04/16/2021, 09:19:25",22.16,34.1,992.56,511.0,2
1,"04/16/2021, 09:19:37",22.18,34.05,992.57,511.0,3
1,"04/16/2021, 09:19:50",22.2,33.99,992.57,511.0,4
1,"04/16/2021, 09:20:05",22.21,34.09,992.55,511.0,2
1,"04/16/2021, 09:20:17",22.19,34.0,992.55,511.0,2
1,"04/16/2021, 09:20:29",22.22,33.98,992.59,511.0,2
1,"04/16/2021, 09:20:41",22.22,33.93,992.59,511.0,2
1,"04/16/2021, 09:20:54",22.21,34.02,992.53,511.0,2
1,"04/16/2021, 09:21:06",22.22,34.04,992.51,511.0,2
1,"04/16/2021, 09:21:18",22.27,33.94,992.59,511.0,2
1,"04/16/2021, 09:21:30",22.27,33.94,992.56,511.0,3
1,"04/16/2021, 09:21:44",22.29,33.89,992.56,511.0,5
1,"04/16/2021, 09:21:59",22.27,34.15,992.53,511.0,4
1,"04/16/2021, 09:22:13",21.56,36.58,992.69,321.0,2218
1,"04/16/2021, 09:59:24",21.84,39.72,992.75,325.0,2
3,"05/03/2021, 15:38:22",25.25,96.25,400.0,70.2,1
3,"05/03/2021, 15:38:33",25.25,96.25,400.0,70.2,2
3,"05/03/2021, 15:38:46",25.25,96.25,400.0,70.2,3
3,"05/03/2021, 15:38:59",25.25,96.25,400.0,70.2,1
3,"05/03/2021, 15:39:10",25.25,96.25,400.0,70.2,2
3,"05/03/2021, 15:39:22",25.25,96.25,400.0,70.2,2
3,"05/03/2021, 15:39:35",25.25,96.25,400.0,70.2,6
3,"05/03/2021, 15:39:51",25.25,96.25,400.0,70.2,4
3,"05/03/2021, 15:40:05",25.25,96.25,400.0,70.2,7
3,"05/03/2021, 15:40:23",25.25,96.25,400.0,70.2,2
3,"05/03/2021, 15:40:35",25.25,96.25,400.0,70.2,1
3,"05/03/2021, 15:40:46",25.25,96.25,400.0,70.2,3
3,"05/03/2021, 15:40:59",25.25,96.25,400.0,70.2,1
3,"05/03/2021, 15:41:11",25.25,96.25,400.0,70.2,6
3,"05/03/2021, 15:41:27",25.25,96.25,400.0,70.2,11
3,"05/03/2021, 15:41:48",25.25,96.25,400.0,70.2,5
3,"05/03/2021, 15:42:03",25.25,96.25,400.0,70.2,3
3,"05/03/2021, 15:42:17",25.25,96.25,400.0,70.2,9
